INFO 2025-06-03 07:14:36,197 autoreload 10636 8668 Watching for file changes with StatReloader
INFO 2025-06-03 07:15:09,925 basehttp 10636 3236 "GET /api HTTP/1.1" 301 0
INFO 2025-06-03 07:15:11,981 basehttp 10636 2356 "GET /api/ HTTP/1.1" 200 309
INFO 2025-06-03 07:15:14,019 basehttp 10636 3260 "GET /api/health/ HTTP/1.1" 200 85
WARNING 2025-06-03 07:15:14,168 log 10636 3260 Bad Request: /api/register/
WARNING 2025-06-03 07:15:14,169 basehttp 10636 3260 "POST /api/register/ HTTP/1.1" 400 166
WARNING 2025-06-03 07:15:15,500 log 10636 3260 Bad Request: /api/token/
WARNING 2025-06-03 07:15:15,501 basehttp 10636 3260 "POST /api/token/ HTTP/1.1" 400 48
WARNING 2025-06-03 07:15:15,520 log 10636 3260 Not Found: /api/endpoint-inexistant/
WARNING 2025-06-03 07:15:15,523 basehttp 10636 3260 "GET /api/endpoint-inexistant/ HTTP/1.1" 404 12959
WARNING 2025-06-03 07:15:15,528 log 10636 3260 Unauthorized: /api/profile/
WARNING 2025-06-03 07:15:15,528 basehttp 10636 3260 "GET /api/profile/ HTTP/1.1" 401 58
WARNING 2025-06-03 07:15:15,537 log 10636 3260 Bad Request: /api/register/
WARNING 2025-06-03 07:15:15,537 basehttp 10636 3260 "POST /api/register/ HTTP/1.1" 400 456
WARNING 2025-06-03 07:15:15,558 log 10636 3260 Unauthorized: /api/profile/
WARNING 2025-06-03 07:15:15,558 basehttp 10636 3260 "GET /api/profile/ HTTP/1.1" 401 172
INFO 2025-06-03 07:15:15,564 basehttp 10636 3260 "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-06-03 07:15:52,728 basehttp 10636 9324 "GET /api HTTP/1.1" 301 0
INFO 2025-06-03 07:15:54,768 basehttp 10636 772 "GET /api/ HTTP/1.1" 200 309
INFO 2025-06-03 07:15:56,796 basehttp 10636 7472 "GET /api/health/ HTTP/1.1" 200 85
WARNING 2025-06-03 07:15:56,814 log 10636 7472 Bad Request: /api/register/
WARNING 2025-06-03 07:15:56,815 basehttp 10636 7472 "POST /api/register/ HTTP/1.1" 400 166
WARNING 2025-06-03 07:15:58,143 log 10636 7472 Bad Request: /api/token/
WARNING 2025-06-03 07:15:58,144 basehttp 10636 7472 "POST /api/token/ HTTP/1.1" 400 48
WARNING 2025-06-03 07:15:58,161 log 10636 7472 Not Found: /api/endpoint-inexistant/
WARNING 2025-06-03 07:15:58,162 basehttp 10636 7472 "GET /api/endpoint-inexistant/ HTTP/1.1" 404 12959
WARNING 2025-06-03 07:15:58,166 log 10636 7472 Unauthorized: /api/profile/
